"","ensembl_gene_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"18","ENSRNOG00000016349","Gnmt",-6.66958290766115,-6.67466221206464,6.72697910533414,1.73555326354494e-09,2.25814298381122e-05
"29","ENSRNOG00000052810","Cyp2c11",-9.22467744321604,-9.22719477915054,10.3025201507111,3.55241212935215e-09,2.25814298381122e-05
"12","ENSRNOG00000010079","Car3",-9.15959502072741,-9.16112915347046,10.9534814153295,5.09815544207831e-09,2.25814298381122e-05
"21","ENSRNOG00000020420","Pklr",-5.93016608027699,-5.93174356356553,7.68812105525944,8.2154384907926e-09,2.7291686666413e-05
"11","ENSRNOG00000009438","Serpina6",-5.03417344957835,-5.03484160462131,8.04026665993623,1.10001928332044e-08,2.92341124735239e-05
"25","ENSRNOG00000033529","Amy1a",-4.8160864863281,-4.81650626475047,8.49676957069605,1.43464611329653e-08,3.16015689891047e-05
"27","ENSRNOG00000043131","LOC100360095",-10.039323923928,-10.0553108111366,8.43579198433612,1.83530626282427e-08,3.16015689891047e-05
"1","ENSRNOG00000000281","Prodh1",-4.58113102066322,-4.58307436784367,6.0389826322189,1.90256285304664e-08,3.16015689891047e-05
"6","ENSRNOG00000004391","AABR07057436.1",-4.19381644592146,-4.19422996821178,7.90382098361915,3.0617294800708e-08,3.99956071452347e-05
"10","ENSRNOG00000009350","Sez6",-7.82103487988088,-7.83362900774941,6.5771493289363,3.1130917157285e-08,3.99956071452347e-05
"22","ENSRNOG00000023587","Dhtkd1",-4.13881026569693,-4.13920659930298,7.91176042808556,3.31089463122803e-08,3.99956071452347e-05
"8","ENSRNOG00000007069","Adhfe1",-5.88981739433157,-5.89337874951586,6.46358853488792,3.84686266398096e-08,4.10775317654247e-05
"9","ENSRNOG00000008638","Angptl3",-4.85444948960026,-4.85504526011702,8.0268482563512,4.05234629230585e-08,4.10775317654247e-05
"26","ENSRNOG00000034228","Pik3c2g",-4.76810812808938,-4.77438665249951,4.51300187685196,4.32785554421995e-08,4.10775317654247e-05
"15","ENSRNOG00000011269","Sult1c3",-5.81333426138861,-5.81469748118189,7.78160276348593,5.10382932553224e-08,4.52131227184483e-05
"23","ENSRNOG00000028701","C8g",-3.78948145917408,-3.79034740527804,6.4334297726727,5.86213845002113e-08,4.86850598274255e-05
"16","ENSRNOG00000014371","Cdh13",6.957687808297,6.98771726013457,5.08592527924724,6.78282556346448e-08,5.25901254488414e-05
"28","ENSRNOG00000043201","Coq8a",-4.42209964701656,-4.42253875634938,8.04337839145986,7.12388815532169e-08,5.25901254488414e-05
"7","ENSRNOG00000005794","Slc10a1",-5.98503326360547,-5.9860458606355,8.38321407392289,7.66704583035429e-08,5.27413779315796e-05
"13","ENSRNOG00000010389","Ndrg2",-5.02527756306111,-5.02575390769323,8.52185365590873,7.93819655803425e-08,5.27413779315796e-05
"20","ENSRNOG00000019587","Ptprn",5.69242588976394,5.69385021707104,8.17152176003223,8.99755157434487e-08,5.29550106590294e-05
"24","ENSRNOG00000033466","Apon",-3.86798792792936,-3.86890226403452,6.43114272316724,9.34104744521329e-08,5.29550106590294e-05
"2","ENSRNOG00000001466","LOC100361492",5.25922714877244,5.2710816730763,4.71658145701913,9.8799937893561e-08,5.29550106590294e-05
"19","ENSRNOG00000018426","Apoc1",-5.6007713919156,-5.60111277375904,9.57193437159293,9.89280163353927e-08,5.29550106590294e-05
"14","ENSRNOG00000011019","Faah",-4.11241808082395,-4.11596188133871,4.69133147358131,9.97438223033563e-08,5.29550106590294e-05
"3","ENSRNOG00000002636","Abat",-4.0175343943125,-4.01849318744416,6.51447515219729,1.03614560290094e-07,5.29550106590294e-05
"17","ENSRNOG00000015654","Ghr",-3.72963224658658,-3.72993329115382,7.90723152863197,1.08488551039828e-07,5.33909609478528e-05
"5","ENSRNOG00000004089","Enpp2",-3.76719193383942,-3.76892102154658,5.40573397360804,1.12503529992465e-07,5.33909609478528e-05
"30","ENSRNOG00000061527","Gck",-8.04946142761981,-8.0665142553006,6.35638085610855,1.30120067489581e-07,5.96219123035016e-05
"4","ENSRNOG00000003370","Otc",-3.62077611093555,-3.62104427984678,7.96792990172809,1.35407860508714e-07,5.99766550146596e-05
